"","Rent","Bond","Bedroom","Bathroom","Parking","Heating","Air Conditioning","Balcony","Dishwasher","Gym","Distance (km) to closest public school","Agent_Besser","Agent_Biggin","Agent_Buxton","Agent_Dingle","Agent_Elite","Agent_Hodges","Agent_Home","Agent_Jellis","Agent_Marshall","Agent_NPM","Agent_Paragon","Agent_Ray","Agent_Sweeney","Agent_Think","Agent_Waterdale","Neighbourhood Largest Demographics_20-39","Neighbourhood Largest Demographics_40-59","Neighbourhood Largest Demographics_60+","Neighbourhood Largest Demographics_Under 20"
"45",280,1217,1,1,1,1,1,0,1,0,0.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"46",440,1912,2,1,1,1,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"47",440,2200,2,2,1,1,1,0,1,0,0.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"48",795,4770,2,2,2,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"49",450,1955,2,1,1,0,0,0,0,0,0.4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"50",500,2172,2,1,1,0,1,0,1,0,0.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"51",470,2350,2,1,1,1,1,0,0,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"52",490,2130,2,2,1,0,1,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"53",410,1782,2,1,1,0,0,0,0,0,0.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"54",350,1521,1,1,1,1,0,0,1,0,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"55",360,1924,1,1,1,1,0,0,1,0,0.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"56",320,1390,1,1,1,0,0,0,0,0,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"57",560,2433,2,1,1,1,1,0,1,1,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"58",480,2566,2,1,1,0,1,0,0,0,0.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"59",650,2825,2,1,2,0,0,0,0,1,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"60",400,2138,1,1,1,0,0,0,1,0,0.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"61",400,1738,2,1,1,1,1,0,1,0,0.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"62",830,5410,2,2,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"63",390,2085,2,1,1,1,1,0,0,0,0.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"64",320,1390,1,1,1,0,1,0,1,0,1.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"65",270,1173,1,1,0,1,0,0,0,0,0.4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"66",360,1564,2,1,1,1,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"67",275,1195,1,1,0,1,0,0,0,0,0.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"68",380,1651,1,1,1,0,0,0,0,0,1.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"69",340,1477,1,1,1,1,0,0,1,0,0.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"70",420,1825,3,1,1,0,1,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"71",355,1543,1,1,1,1,0,0,1,0,0.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"72",450,1955,2,1,1,1,1,0,1,0,0.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"73",585,2925,2,1,1,0,0,0,1,0,1.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"74",440,2200,2,1,1,0,0,0,0,0,0.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"75",400,1739,2,1,1,0,1,0,1,0,0.3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"76",590,3154,2,2,1,0,0,0,0,0,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"77",495,2970,2,2,1,1,1,0,0,0,0.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"78",310,1347,1,1,1,0,0,0,0,0,0.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"79",420,2100,2,2,1,1,0,0,0,0,0.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"80",450,2405,2,1,1,1,0,0,1,0,0.8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"81",995,5970,3,2,1,0,0,0,1,1,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"82",700,3742,3,1,1,0,0,0,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"83",280,1217,1,1,1,1,1,0,1,0,0.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"84",440,1912,2,1,1,1,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"85",440,2200,2,2,1,1,1,0,1,0,0.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"86",795,4770,2,2,2,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"87",450,1955,2,1,1,0,0,0,0,0,0.4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"88",500,2172,2,1,1,0,1,0,1,0,0.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"89",470,2350,2,1,1,1,1,0,0,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"90",490,2130,2,2,1,0,1,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"91",410,1782,2,1,1,0,0,0,0,0,0.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"92",350,1521,1,1,1,1,0,0,1,0,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"93",360,1924,1,1,1,1,0,0,1,0,0.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"94",320,1390,1,1,1,0,0,0,0,0,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"95",560,2433,2,1,1,1,1,0,1,1,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"96",480,2566,2,1,1,0,1,0,0,0,0.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"97",650,2825,2,1,2,0,0,0,0,1,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"98",400,2138,1,1,1,0,0,0,1,0,0.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"99",400,1738,2,1,1,1,1,0,1,0,0.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"100",830,5410,2,2,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"101",390,2085,2,1,1,1,1,0,0,0,0.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"102",320,1390,1,1,1,0,1,0,1,0,1.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"103",270,1173,1,1,0,1,0,0,0,0,0.4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"104",360,1564,2,1,1,1,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"105",275,1195,1,1,0,1,0,0,0,0,0.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"106",380,1651,1,1,1,0,0,0,0,0,1.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"107",340,1477,1,1,1,1,0,0,1,0,0.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"108",420,1825,3,1,1,0,1,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"109",355,1543,1,1,1,1,0,0,1,0,0.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"110",450,1955,2,1,1,1,1,0,1,0,0.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"111",585,2925,2,1,1,0,0,0,1,0,1.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"112",440,2200,2,1,1,0,0,0,0,0,0.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"113",400,1739,2,1,1,0,1,0,1,0,0.3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"114",590,3154,2,2,1,0,0,0,0,0,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"115",310,1347,1,1,1,0,0,0,0,0,0.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"116",420,2100,2,2,1,1,0,0,0,0,0.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"117",450,2405,2,1,1,1,0,0,1,0,0.8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"118",995,5970,3,2,1,0,0,0,1,1,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"119",700,3742,3,1,1,0,0,0,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"120",280,1217,1,1,1,1,1,0,1,0,0.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"121",440,1912,2,1,1,1,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"122",440,2200,2,2,1,1,1,0,1,0,0.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"123",795,4770,2,2,2,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"124",450,1955,2,1,1,0,0,0,0,0,0.4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"125",500,2172,2,1,1,0,1,0,1,0,0.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"126",470,2350,2,1,1,1,1,0,0,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"127",490,2130,2,2,1,0,1,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"128",410,1782,2,1,1,0,0,0,0,0,0.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
